,Unnamed: 0,cdc_post_id,created_at,comment_id,lang,text,period
2468,2470,1.4545378468454769e+18,Sat Oct 30 20:08:47 +0000 2021,1.4545408074747126e+18,en,"@CDCgov ""Wearing a mask indoors is one of the best ways to prevent the spread of #COVID19""

No. That would be getting vaccinated.",period_2
196,196,1.481333160218669e+18,Thu Jan 13 14:03:23 +0000 2022,1.4816279426481766e+18,qme,@CDCgov @US_FDA https://t.co/zIaHovFZoE,period_3
2005,2007,1.4697115813532303e+18,Sat Dec 11 17:05:59 +0000 2021,1.469715097094267e+18,en,@CDCgov Look at all those ways to look at all that data. Most excellent! County-by-county results here: https://t.co/XCaLMU9Qut,period_2
70,70,1.4821288702875443e+18,Sun Jan 16 00:10:29 +0000 2022,1.482505501866963e+18,qme,@CDCgov #IchooseCOVAXIN,period_3
693,693,1.6063673107924992e+18,Sat Dec 24 00:59:05 +0000 2022,1.606454379745366e+18,en,@CDCgov Haven’t had a flu shot since I don’t know when. Also: haven’t had the flu since I don’t know when.,period_3
1261,1261,1.49366141927492e+18,Tue Feb 15 19:01:17 +0000 2022,1.4936617127336387e+18,en,All eligible children and adolescents should stay up to date with #COVID19 vaccination. Find a COVID-19 vaccine for your child at https://t.co/2akIUZ14Rd.,period_3
1336,1336,1.49366141927492e+18,Wed Feb 16 06:09:30 +0000 2022,1.4938298727493181e+18,en,@CDCgov @CDCMMWR What a Lie I can't believe there still pushing this . Leave the children alone,period_3
3941,3946,1.3436630977567416e+18,Mon Dec 28 21:01:44 +0000 2020,1.3436634451373711e+18,en,@CDCgov And open your windows!,period_1
3326,3329,1.2429150420493517e+18,Thu Mar 26 18:45:59 +0000 2020,1.243247846335357e+18,en,@CDCgov Can you still play tennis?,period_1
2019,2021,1.4697115813532303e+18,Sun Dec 12 00:50:52 +0000 2021,1.469832087452758e+18,en,@CDCgov So damn book smart but dumber than shit,period_2
270,270,1.5831573853795287e+18,Fri Oct 21 05:37:15 +0000 2022,1.5833315588698563e+18,en,@CDCgov @CDCMMWR Could you do us a favour and tell Bonnie Henry?,period_3
3736,3741,1.3411372210684682e+18,Tue Dec 22 02:10:34 +0000 2020,1.3412044519195034e+18,en,"@CDCgov If you close everything down again, we riot!",period_1
3698,3702,1.2530852851618038e+18,Sat Apr 25 13:11:26 +0000 2020,1.2540352902028124e+18,en,"@CDCgov @realDonaldTrump It doesn't affect minorities more than others. It affects whoever is most prevalent in the affected area. I'm betting not too many black people died in China, Japan, Korea, Italy, Spain etc. Stop wasting money on bullshit",period_1
166,166,1.481333160218669e+18,Wed Jan 12 19:38:29 +0000 2022,1.481349886079611e+18,en,@CDCgov Over my dead body🖕,period_3
2338,2340,1.4233468327307387e+18,Fri Aug 06 07:39:50 +0000 2021,1.423549359514288e+18,en,@CDCgov I guess it was a big mistake for @CDCDirector to say vaccinated people could just take off their masks and act like nothing. She needs to resign.,period_2
538,538,1.486021122089005e+18,Tue Feb 08 12:33:11 +0000 2022,1.4910273285286953e+18,en,@CDCgov Crime against humanity,period_3
1412,1412,1.5980487464110694e+18,Wed Nov 30 21:04:48 +0000 2022,1.5980605023784837e+18,en,@CDCgov What don’t you assholes understand? No one wants an mrna booster. It’s pretty obvious. Approve Covaxin a dead virus vaccine that was tested on millions of people and proven to be safe and work. $ocgn,period_3
3442,3446,1.3425325841238835e+18,Sun Dec 27 14:31:59 +0000 2020,1.3432029767902372e+18,en,"@CDCgov Fear is a Liar. 
Fear induces CYTOKINES. https://t.co/1YukBYvuBd",period_1
1114,1114,1.569355240100569e+18,Tue Sep 13 02:49:11 +0000 2022,1.569518526570074e+18,en,"@CDCgov Because let’s forget about the study showing a 28-29% rate of varying cardiac signals in 300 children in Thailand.. considering our passive reporting system, and general practice of not reporting; your numbers are often lies. Extremely Inflated efficacy, Greatly reduced risk",period_3
2429,2431,1.4545378468454769e+18,Sat Oct 30 20:16:57 +0000 2021,1.454542864369787e+18,en,@CDCgov Stop. Just stop.  We are done.,period_2
776,776,1.6063673107924992e+18,Fri Dec 23 22:08:47 +0000 2022,1.6064115232990822e+18,qme,@CDCgov 😂😂😂,period_3
3936,3941,1.3436630977567416e+18,Tue Dec 29 17:13:06 +0000 2020,1.3439682983886234e+18,en,"@CDCgov I know a lot of people don't want to wear a mask but would you wear one of theis? 

https://t.co/1ziYXm6dnw",period_1
1971,1973,1.453738335617405e+18,Mon Nov 01 15:07:32 +0000 2021,1.4551897719454966e+18,qme,@CDCgov https://t.co/opDMO1f0ZN,period_2
3012,3015,1.2454639607128105e+18,Mon Apr 06 16:00:48 +0000 2020,1.2471925420111094e+18,en,"@CDCgov Epidemiologically speaking, It would be interesting to see if there is an increased risk of ARDS/mortality/cytokine storm in Pet owners (cross reaction with animal antigens). After all, it’s believed that this virus transferred to humans from other mammals.",period_1
733,733,1.6063673107924992e+18,Sat Dec 24 01:10:33 +0000 2022,1.6064572644871619e+18,en,@CDCgov Never taking advice from you again. NEVER!!!!,period_3
8,8,1.4821288702875443e+18,Fri Jan 14 23:58:48 +0000 2022,1.4821401707072143e+18,en,"@CDCgov Dammit. All I have are cloth masks. I've only got COVID once, because my dumbass sister didn't tell me she'd been exposed. Vaxxed and boosted, but only have cloth masks. Are the 'best' masks free? Y'all gonna give them to us? Sigh.",period_3
402,402,1.4983875360323994e+18,Sun Jun 11 12:33:54 +0000 2023,1.6678727874725642e+18,en,@CDCgov The look on her face. Did she know?,period_3
3426,3429,1.3425325841238835e+18,Fri Dec 25 19:19:20 +0000 2020,1.342550512319619e+18,en,@CDCgov Merry Christmas to you too ya jackasses,period_1
3635,3639,1.2530852851618038e+18,Thu Apr 23 06:45:34 +0000 2020,1.2532134082597396e+18,en,@CDCgov Too bad the director has the President's narrative ahead of the health of the public,period_1
3466,3470,1.3425325841238835e+18,Fri Dec 25 21:26:07 +0000 2020,1.3425824217835192e+18,qme,@CDCgov https://t.co/2zM08goKpu,period_1
2970,2973,1.2454639607128105e+18,Mon Apr 06 04:18:08 +0000 2020,1.2470157111903396e+18,en,"@CDCgov A SAME COUNTRY A SAME RACE, that is the priority that is what unites us Americans, whites, blacks, legal and illegal Latino immigrants, this battle belongs to everyone, human beings. We are going to unite in a single force, we are going to work together for the same reason to",period_1
211,211,1.481333160218669e+18,Thu Jan 13 01:17:07 +0000 2022,1.481435104933204e+18,qme,@CDCgov https://t.co/OrhZEjq9xB,period_3
3045,3048,1.2454639607128105e+18,Thu Apr 02 17:30:05 +0000 2020,1.245765459892482e+18,qme,@CDCgov https://t.co/4e44dePGrD,period_1
594,594,1.486021122089005e+18,Tue Jan 25 19:05:15 +0000 2022,1.4860525637535703e+18,en,"@CDCgov Yet we don’t get to see all of the testing data, and the documents related to the FDA approvals, until the year 2076. 🤔",period_3
33,33,1.4821288702875443e+18,Sun Jan 16 22:17:25 +0000 2022,1.4828394345298534e+18,en,@CDCgov Rubbish.  Masks do nothing.,period_3
3874,3879,1.2501281852298936e+18,Tue Apr 14 22:33:33 +0000 2020,1.2501904826315776e+18,en,"@CDCgov @MayorOfLA Yo mayor who are we fooling? Why the hell have you capped the bracket at 12,000 WHO THE HELL IS LIVING ON 12,000 in LA YOU NEED AT LEAST 24,000 TO SURVIVE IN LA UNLESS YOU WANNA OPEN YOUR MASION TO THOSE GOING TO BE ON THE STREET SOON ID SUGGEST CHANGING THAT WEAK AS BRACKET. https://t.co/dtXiVkt1Tb",period_1
3306,3309,1.2429150420493517e+18,Sat Mar 28 04:16:21 +0000 2020,1.243753770950865e+18,qme,@CDCgov https://t.co/vwcryXzLSa,period_1
3804,3809,1.257340333031121e+18,Tue May 05 19:58:57 +0000 2020,1.2577617238907617e+18,en,@CDCgov @FLOTUS I am the surgeon general only chemical  strong enough to kill and cure corona 19 is chlorine I have tested this theory also I have made cure all drug listed in FDA medicines listed as cure all,period_1
2112,2114,1.3599815523614966e+18,Thu Feb 11 22:21:50 +0000 2021,1.3599910594603336e+18,en,@CDCgov @CDCgov I believe this method is proven scientifically to be 99.98% effective to work. Can you confirm? https://t.co/4mVnLPoYwC,period_2
149,149,1.4821288702875443e+18,Sat Jan 15 15:21:19 +0000 2022,1.482372329871192e+18,en,"@CDCgov Vitamin D,C, Zinc are some of the best masks. External masks fail, and only lead to bigger problems. It’s been proven a thousand times over.",period_3
414,414,1.4983875360323994e+18,Fri Jun 16 01:47:39 +0000 2023,1.6695220910649262e+18,en,@CDCgov Why is even CDC still existing???,period_3
318,318,1.5831573853795287e+18,Fri Oct 21 15:34:21 +0000 2022,1.5834818255271404e+18,qme,@CDCgov @CDCMMWR https://t.co/XR8YvBOkj9,period_3
2643,2646,1.4226250708376044e+18,Tue Aug 03 22:45:08 +0000 2021,1.422690024340947e+18,en,"@CDCgov I'm good, thank tho.",period_2
3701,3705,1.2530852851618038e+18,Sat Apr 25 13:08:05 +0000 2020,1.2540344477935206e+18,qme,@CDCgov @realDonaldTrump https://t.co/je2Sg63DrM,period_1
3599,3603,1.2530852851618038e+18,Sat Apr 25 13:07:35 +0000 2020,1.254034321310126e+18,en,"@CDCgov @realDonaldTrump Pot, booze, clubs...unhealthy lifestyle",period_1
1550,1550,1.505218795937448e+18,Sat Mar 19 17:53:53 +0000 2022,1.5052411631204475e+18,en,"@CDCgov #Omicron &amp; #BA2 are rapidly rising in the US &amp; this is what you post? @CDCDirector mask mandates must be reactivated NOW, or resign! Your unsafe advice keeps repeating itself. The #BA2 is redoubling weekly 'Optional masks' myth is unscientific nonsense @POTUS @HHSGov @OIGatHHS",period_3
1791,1792,1.5821066969266668e+18,Thu Oct 20 09:58:53 +0000 2022,1.583035012756099e+18,qme,@CDCgov https://t.co/amdLFtrras,period_3
2667,2670,1.4226250708376044e+18,Wed Aug 04 18:32:22 +0000 2021,1.4229887988798054e+18,en,"@CDCgov And if you don’t think you’re in an area of substantial spread because the national media isn’t covering it, look again.",period_2
17,17,1.4821288702875443e+18,Sat Jan 15 00:51:35 +0000 2022,1.482153455854637e+18,en,@CDCgov You have no substantial data so just don’t say this and expect people to listen because you don’t back it up and you are wrong!,period_3
2986,2989,1.2454639607128105e+18,Thu Apr 02 20:49:39 +0000 2020,1.245815682886824e+18,en,@CDCgov 7478888399 one of your tweets says the right message at the right time will save lives xxxx Well! Your not doing that with me I know the Cures but no response equals hypocrisy that causes death!,period_1
2232,2234,1.4233468327307387e+18,Fri Aug 06 04:37:09 +0000 2021,1.4235033874595226e+18,en,"@CDCgov There is no safety with the vaccine,  anyone unmasked can get it and spread it,  pay attention.  The vaccinated are not protected from Delta, it wasn't a strain in the shot. We need the government to own up to the fact that the vaccine is not working to prevent infection/spread.",period_2
2466,2468,1.4545378468454769e+18,Sun Oct 31 12:38:28 +0000 2021,1.4547898709169684e+18,en,@CDCgov Virius size is to small to be stopped by any masks. Will your hands and fingers covering your face stop sand in a sand storm? No Its the same with a mask and virus. Virus shoot right thru any and all mask material. https://t.co/Lhv18uqMJO,period_2
2135,2137,1.3599815523614966e+18,Sun Feb 16 16:29:03 +0000 2025,1.8911628894042276e+18,en,@CDCgov This is the all time STUPIDEST recommendation that people willyNILLY followed into self harm. Voluntarily suffocating themselves while virtue signaling how ignorant they are to this day. DEFUND the Cdc https://t.co/RfSHIrWA9z,period_2
2998,3001,1.2454639607128105e+18,Fri Apr 03 01:04:00 +0000 2020,1.2458796926131814e+18,qme,@CDCgov https://t.co/c7FRRoWxtj,period_1
1588,1589,1.505218795937448e+18,Tue Mar 22 17:43:46 +0000 2022,1.506325780149592e+18,en,@CDCgov Where can these studies be found? Interested In reviewing.,period_3
3815,3820,1.257340333031121e+18,Wed May 06 14:20:29 +0000 2020,1.2580389330295603e+18,en,@CDCgov @FLOTUS Tell your husband that 🤨,period_1
865,865,1.6063673107924992e+18,Sat Dec 24 18:26:36 +0000 2022,1.6067179983744696e+18,en,@CDCgov Clowns,period_3
534,534,1.486021122089005e+18,Tue Jan 25 18:24:16 +0000 2022,1.486042248638722e+18,en,@CDCgov then why are they starting trials for a new omicron-specific vaccine?,period_3
551,551,1.486021122089005e+18,Thu Feb 10 15:47:38 +0000 2022,1.491801037312721e+18,en,"@CDCgov Safe and effective? Maybe for some but not for the over 100,000 people who have died worldwide from this jab. There is no one size fits all. Not everyone needs this jab. And it should be VOLUNTARY!!  Nuremberg 2.0 can’t come fast enough.",period_3
2250,2252,1.4233468327307387e+18,Thu Aug 05 19:12:50 +0000 2021,1.4233613706664591e+18,en,"@CDCgov Do you two understand this, @GovAbbott and @GovRonDeSantis ?  Follow it please!",period_2
2037,2039,1.4697115813532303e+18,Sun Dec 12 07:05:27 +0000 2021,1.4699263558611804e+18,en,@CDCgov The CDC is totally credible. We can all feel safe now with their so called expertise 🤣🤣🤣,period_2
2318,2320,1.4233468327307387e+18,Fri Aug 06 06:12:02 +0000 2021,1.4235272635056906e+18,tl,@CDCgov And Lamda,period_2
69,69,1.4821288702875443e+18,Sat Jan 15 14:46:50 +0000 2022,1.4823636511934587e+18,en,@CDCgov stupid visual.  most people skim quickly and many (like me) though the progression from worst to best runs from left to right.  like we read. should make it simple.  dummies in the real world (maybe smart scientists in the lab room) should not be doing the policy or communicating,period_3
1106,1106,1.569355240100569e+18,Tue Sep 13 19:40:02 +0000 2022,1.5697729167657697e+18,qme,@CDCgov https://t.co/kHONqtZ1B3,period_3
2943,2946,1.2388410612770406e+18,Sat Mar 14 15:47:02 +0000 2020,1.238854156435284e+18,en,@CDCgov at this point youre all starting to sound like the adults in the charlie brown cartoons,period_1
1468,1468,1.5980487464110694e+18,Thu Dec 01 02:14:42 +0000 2022,1.598138489908138e+18,en,@CDCgov Ummm…only really sad people still concern themselves with Covid.   Ya know what you can do with your shitty vaccines…,period_3
184,184,1.481333160218669e+18,Wed Jan 12 19:23:08 +0000 2022,1.4813460230291046e+18,qme,@CDCgov https://t.co/eNp4iDxg83,period_3
3367,3370,1.2429150420493517e+18,Wed Apr 01 15:46:10 +0000 2020,1.245376919639638e+18,en,"@CDCgov It's interesting to me that at this point with widespread pandemic in the US, the virus has yet to take over parts of our country such as Alaska, Montana, Wyoming, North Dakota, and South Dakota. I expected Hawaaii to have more cases since it is such a tourist hotspot. #Math530",period_1
1299,1299,1.49366141927492e+18,Tue Feb 15 23:35:26 +0000 2022,1.493730704529793e+18,en,@CDCgov @CDCMMWR Yea don't believe it,period_3
2337,2339,1.4233468327307387e+18,Fri Aug 06 08:16:03 +0000 2021,1.4235584756956774e+18,en,@CDCgov Nope,period_2
2413,2415,1.4629056953769206e+18,Sat Nov 27 00:29:44 +0000 2021,1.464390952097923e+18,en,@CDCgov Why are we still playing pretend? The shots didn't work. Admit it and move on.,period_2
3362,3365,1.2429150420493517e+18,Fri Mar 27 12:05:43 +0000 2020,1.2435095043120538e+18,en,"@CDCgov Serious question.
I see all the urgency over the amount of available ventilators and ppe. What is it about COVID-19 that causes this increased demand over a typical flu season? Is it the ease of transmission vs the flu that requires more ppe?
Thanks in advance.",period_1
205,205,1.481333160218669e+18,Fri Jan 14 06:12:50 +0000 2022,1.4818719130184049e+18,en,"@CDCgov @US_FDA 1.Nothing is ""free"".  Stop saying that.  Somebody is paying for it.

2.#covaxin.  Just a plain old works on all variant traditional vaccine the @us_fda refuses to address because of their pfizer handlers.
3.many recent articles in the news about the safety of covaxin for all ages",period_3
1334,1334,1.49366141927492e+18,Tue Feb 15 22:11:45 +0000 2022,1.4937096457220424e+18,en,@CDCgov @CDCMMWR Kids aren’t at risk more than any cold…stop this nonsense,period_3
330,330,1.5831573853795287e+18,Fri Oct 21 11:00:19 +0000 2022,1.5834128608852705e+18,en,@CDCgov @CDCMMWR It is important you shut the f…. Up and stop spreading misinformation,period_3
2307,2309,1.4233468327307387e+18,Mon Aug 09 16:18:26 +0000 2021,1.424767035284902e+18,en,@CDCgov Please put out a statement in simple terms for the simple minded people that just don’t get it. The vaccine works. Get one. But also wear a mask because even vaccinated you can get and transmit the virus.,period_2
680,680,1.5212330979073966e+18,Mon May 02 22:57:17 +0000 2022,1.5212625787726234e+18,en,"@CDCgov https://t.co/1ClqgZqDYC

what more do you need to wake up? The situation is worsening again and the CDC couldn’t care less. Vaccine or not, these numbers are staggering and you never know how an individual might react to illness. Not to mention exhausted healthcare workers",period_3
1429,1429,1.5980487464110694e+18,Wed Nov 30 20:32:46 +0000 2022,1.5980524378559816e+18,qme,@CDCgov https://t.co/8w53JGBla3,period_3
3209,3212,1.336785273548632e+18,Thu Dec 10 04:32:22 +0000 2020,1.3368914838284616e+18,en,@CDCgov Or not. https://t.co/W01wxwwnEW,period_1
2984,2987,1.2454639607128105e+18,Mon Apr 06 04:14:58 +0000 2020,1.2470149157280113e+18,en,"@CDCgov I have had the initiative to send you this letter as an inhabitant of this great country because I have been at my house for three weeks due to COVID-19 and every day I watch the news, check social media and listen to the President and his team, I listen to doctors and",period_1
2606,2609,1.4226250708376044e+18,Tue Aug 03 20:35:55 +0000 2021,1.4226575060110172e+18,en,@CDCgov Please wear a mask everyone we can protect each other,period_2
576,576,1.486021122089005e+18,Thu Feb 10 03:44:25 +0000 2022,1.4916190361651937e+18,qme,@CDCgov https://t.co/7Z4Rc7vJhT,period_3
1025,1025,1.569355240100569e+18,Tue Sep 13 01:43:36 +0000 2022,1.5695020224659948e+18,en,"@CDCgov @contrarian4data ""84% less likely"" 🤡 

They could update the book How to Lie with Statistics with a chapter only for the CDC.",period_3
3416,3419,1.3425325841238835e+18,Sat Dec 26 14:33:48 +0000 2020,1.3428410452775363e+18,en,@CDCgov &amp; don't forget to use a glory hole if you decide to get intimate with something  !,period_1
4052,4057,1.3414647835944018e+18,Thu Dec 24 05:54:27 +0000 2020,1.3419855716993065e+18,qme,@CDCgov 🙄,period_1
3137,3140,1.2961916299681874e+18,Fri Aug 21 01:57:27 +0000 2020,1.2966274436845937e+18,en,@CDCgov My name is James Kent.2 decades ago I created the(SmartWheel) today many states use the device to prevent drunk driving fatalities!I want to repeat that victory with(Project56059)said product will help stop the spread of Covid 19!help me get funding ASAP!,period_1
4087,4092,1.3109909870581883e+18,Wed Sep 30 05:16:29 +0000 2020,1.3111730457012265e+18,en,"@CDCgov @CDCMMWR Ok, it's almost October. Where are we at now?",period_1
2495,2497,1.4545378468454769e+18,Thu Nov 04 15:17:21 +0000 2021,1.456279407014957e+18,und,@CDCgov Yes,period_2
